1,38
3,2
4,15
5,2
6,3
7,7
8,16
9,6
10,12
11,76
12,74
13,281
14,232
15,15
17,4
19,3
20,13
21,7
22,32
23,70
24,3
25,4
26,7
27,120
28,61
29,9
32,3
33,28
34,17
35,5
37,6
38,12
40,52
41,7
42,4
43,3
44,9
46,7
